rank,name,handle,followers,er,topics
73,Fermín López Marín,@_ferminlopez,4.5M,9.82%,Fashion and Accessories
74,Daniella Semaan Fàbregas,@daniellasemaan,4.5M,0.13%,"family, Parenting, Soccer, Moms"
75,NOVIOS BIPOLARES,@noviosbipolares,4.3M,2.08%,"Romance and Wedding, Actors"
76,Joaquin Sanchez,@joaquinarte,4.2M,0.7%,"Arts and Crafts, Marketing and Advertising, Soccer, Actors"
77,Horacio Sanchez,@horasanz,4.1M,0.15%,"Travel, Marketing and Advertising, Lifestyle"
78,Jon Kortajarena,@jonkortajarena,4.1M,0.2%,Modeling
79,Fede Valverde,@fedeevalverde,4.1M,4.2%,"Soccer, Actors"
80,Antonio Banderas,@antoniobanderas,4M,0.34%,"Acting and Drama, Entertainment and Music, Celebrity, Actors"
81,Selección Española de Fútbol,@sefutbol,4M,0.46%,"Sports, Soccer"
82,Zaida Ward,@zaida_ward,3.9M,-,"Art, Food & Drink, Health & Fitness, Hair & Beauty"
83,Héctor Bellerín,@hectorbellerin,3.9M,2.7%,"Sports, Tennis"
84,DjMaRiiO,@djmariio,3.8M,7.25%,"Games, Automotive, Soccer, Actors"
85,Anna Terés,@annarecetasfaciles,3.6M,0.55%,"Food, Education, Video Blogger, Chef"
86,César Azpilicueta,@cesarazpi,3.6M,0.54%,"Sports, Soccer"
87,Aida Domenech,@dulceida,3.5M,1.79%,Fashion and Accessories
88,Amor de un café ✨,@amordeuncafe,3.5M,0.54%,
89,Ana Cozar,@espana927,3.4M,0.5%,"Fitness and Health, Product Education, Product Showcase, Business and Finance"
90,MARIA POMBO,@mariapombo,3.4M,2.15%,"Fashion and Accessories, Marketing and Advertising, Actors, Hair & Beauty"
91,Abraham Mateo,@abrahammateo,3.4M,0.85%,"Entertainment and Music, Singer"
92,Inigo Dôminic Pascual 💎,@inigopascual,3.4M,0.1%,"Entertainment and Music, Music, Singer, Songwriting"
93,Leticia Marches,@leticiamarchess,3.3M,0.28%,
94,KEO,@thekiddkeo,3.3M,4.08%,"Entertainment and Music, Music, Modeling, Singer"
95,Ó S C A R    C A S A S,@oscar_casas_,3.3M,5.84%,"Acting and Drama, Celebrity, Actors"
96,"Luis ""Potro"" Caballero Dussauge",@luispotrocaballero,3.3M,0.28%,"Music, Marketing and Advertising, Actors, Cars & Motorcycles"
97,Jordi Wild,@jordiwild8,3.2M,7.15%,"Entertainment and Music, Video Blogger, Lifestyle, Actors"
98,Sevilla FC,@sevillafc,3.1M,0.44%,"Sports, Personal Finance, Soccer"
99,Arna Karls,@arnakarls,3.1M,6.62%,"Entertainment and Music, Travel, Education, Celebrity"
100,Wismichu,@wismichu,3.1M,2.56%,Actors
101,Adama Traore Diarra,@adamatrd37,3.1M,7.01%,"Sports, Soccer, Coaching, Training"
102,Raúl González,@raulgonzalez,3.1M,3.26%,"Soccer, Journalists"
103,André Lamoglia,@andrelamoglia,3M,5.03%,"Celebrity, Celebrities, Humor, Animals & Pets"
104,La Vecina Rubia,@lavecinarubia,3M,2.27%,"Arts and Crafts, Entertainment and Music, Video Gaming, Modeling"
105,ANGELA AZUL ♡,@angelatorres,2.8M,2.13%,"Entertainment and Music, Actors"
106,Jesús Serrano,@gsusserranomua,2.8M,0.27%,"Beauty and Self Care, Hair & Beauty, DIY & Crafts, Celebrities"
107,Marcos Alonso,@marcosalonso28,2.7M,3.94%,
108,Javi Martínez,@javi8martinez,2.7M,0.42%,"Sports, Soccer"
109,ORIANA MARZOLI,@orianagonzalezmarzoli,2.7M,2.92%,"Fashion and Accessories, Bikini"
110,Henry Moodie,@henrymoodie,2.6M,1.16%,Music
111,El Mundo Paralelo,@elmunditoparalelo,2.5M,0.12%,"Funny, Entertainment and Music, News"
112,Dani Rovira,@danirovira,2.5M,0.33%,"Entertainment and Music, Celebrity, Actors"
113,Paula Monreal Barral,@paufeel,2.5M,1.15%,"Food, Business and Finance"
114,LOLA INDIGO,@lolaindigo,2.5M,5.83%,"Entertainment and Music, Music, Actors, Journalists"
115,𝙈𝙞 𝙣𝙤𝙢𝙗𝙧𝙚 𝙚𝙨…. 𝙀𝘿𝙂𝘼𝙍𝘿 𝙘𝙤𝙣 𝘿 🇪🇸,@sensillocons,2.5M,4.6%,"Entertainment and Music, Actors, Journalists"
116,"Jorge Resurrección, Koke",@koke6,2.5M,1.12%,"Sports, Soccer"
117,Paz Padilla,@paz_padilla,2.5M,2.09%,"Acting and Drama, Fitness and Health, Food, Entertainment and Music"
118,72kilos,@72kilos,2.4M,3%,"Arts and Crafts, Books, Actors"
119,Pedro Capó,@pedrocapo,2.4M,0.33%,"Art, Actors, Music"
120,Marina Mui,@itsmuimui,2.4M,1.56%,"Animation and Cosplay, Modeling"
121,Munir El Haddadi,@munirhaddadi,2.4M,6.26%,Soccer
122,Marcos Llorente,@marcosllorente,2.4M,3.22%,"Sports, Food, Product Showcase, Soccer"
123,QUERISA TV,@querisa_tv,2.3M,1.3%,"Funny, Actors"
124,Ines Reg,@inesregmec,2.3M,3.46%,Entertainment and Music
125,Stars Of Football,@starsoffootball,2.3M,0.29%,"News, Video Gaming, Soccer"
126,Fran Silvestre Arquitectos,@fransilvestrearquitectos,2.3M,0.13%,"Home and Garden, Design, Architecture, Interior Design"
